name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Shamshir Machine Gun,els_stinger,2,1,360,500,,16,4,2,50,6,120,8,15,KINETIC,10,,,0.55,7.5,0.072,3,10,1,10,,900,,,50,,,,"pd7, kinetic6, SR, els_bp, rare_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Light Shamshir MG,els_shamshir_ftr,1,1,250,300,,15,3,2,100,5,,,,KINETIC,8,,,0.11,2,0.11,0,8,1,15,,1000,,,20,,,,"pd5, kinetic4, SR, els_bp",,Directory,,Point Defense,,,,,,,,,,
Twin Shamshir Machine Gun,els_twinstinger,2,1,960,525,,16,4,2,45,12,240,16,20,KINETIC,11,,,0.85,6,0.072,2,8,1,14,,900,,,50,,,,"pd12, kinetic10, SR, els_bp, rare_bp, merc, ind",,Directory,,Point Defense,,,,,,,,,,
Heat Vent,els_heatvent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,els_bp,,Directory,,,,,,,,,,,,
Positron Mauler,els_positronmauler,3,1,3000,900,,400,275,200,18,20,,,,ENERGY,533.33,,0.1,1.2333,1,,1,5,1,12,,750,700,1.4,600,,,"STRIKE, USE_VS_FRIGATES","energy20, strike18, LR, els_bp, rare_bp, merc, ind",,Directory,,Strike,,,,,,,,,,
Antiphoton Blaster,els_positronblaster,3,1,850,550,,350,0,0,20,6,,,,ENERGY,375,,0.0625,2.5,1,,0,8,1,12,,1000,,,300,,,"STRIKE, USE_VS_FRIGATES","energy8, strike7, els_bp, rare_bp, merc, ind",,Directory,,Strike,,,,,,,,,,
Antiphoton Repeater,els_positronblaster_hvy,3,1,1700,600,,350,0,0,20,12,,,,ENERGY,375,,0.0625,2.5,1,0.1,1,8,2,10,,1000,,,300,,,"STRIKE, USE_VS_FRIGATES","energy14, strike10, els_bp, rare_bp, merc, ind",,Directory,,General,,,,,,,,,,
Scimitar Autogun,els_autogun,2,1,1000,700,,50,,10,20,11,,,,KINETIC,45,,0.1,0.55,2,0.072,2,6,1,10,,900,,,10,,,,"kinetic10, els_bp, rare_bp, merc, ind",,Directory,,Anti Shield,,,,,,,,,,
Light Laser Array,els_laser_array,2,1,500,700,300,,,0,35,5,,,,ENERGY,,450,,0.6,0.3,0.6,0,0,0,10,7000,,,,,,,,"beam7, energy6, els_bp, rare_bp, merc, ind",,Directory,,General,,,,,,,,,,
Phased Laser Array,els_phased_array,2,1,1000,900,500,,,0,25,10,,,,ENERGY,,550,,0.6,0.6,0.8,0,0,0,10,7000,,,,,,,,"beam12, energy10, LR, els_bp, rare_bp, merc, ind",,Directory,,General,,,,,,,,,,
Alkahest Missile,els_alkahest_ftr,2,1,450,1100,,350,150,80,6,0,,,,ENERGY,0,,0.1,1.5,1,,0,0,0,0,,800,260,1.2,50,,,STRIKE,"strike6, els_bp",,Directory,,Strike,,,,,,,,,,
